,number_colonies,concentrations,density
0,3,17664.00868960701,0.29780021569161874
1,8,36938.96883306638,0.5276934154851506
2,3,26166.793863263127,0.3334323040775562
3,4,20873.5202953273,0.3935034070799986
4,2,12295.249156834825,0.20538144245835907
5,2,8962.34382795813,0.18951760972612108
6,1,8955.72056455109,0.1893712784511183
7,6,36051.011323787454,0.3977174094618706
8,5,26876.926549713895,0.37959601503609264
9,5,31313.651650363256,0.42295151886740806
10,2,8970.08116297947,0.18955990200213346
11,6,38032.99285004197,0.4044478022664783
12,4,34966.7920412682,0.4610390967986234
13,3,14714.644659459269,0.2017688362413829
14,3,20550.601890995775,0.2714758114104825
15,4,22598.324337775215,0.4384617881721827
16,6,15755.27890225707,0.2771328262498964
17,2,15392.761343759237,0.2268244722421482
18,2,17755.718742556157,0.21649585259440848
19,2,13387.849922832695,0.2805914885821876
20,4,13459.211051531225,0.22004586624288638
21,3,26867.161693653266,0.45322010080945746
22,5,31800.080606872136,0.3332589057459055
23,4,12796.67866745613,0.26972237364700985
24,4,27000.0959241628,0.4172226071587732
25,4,24744.927054204843,0.3928351891190032
26,2,17530.850110389976,0.22596932242117818
27,2,14450.76529209338,0.28881818211211274
28,3,17942.199862289042,0.36179857944456933
29,1,8955.72056455109,0.1893492864675919
30,3,17663.78434089951,0.3618907766062763
31,5,25201.474943983336,0.28538743268198974
32,6,24895.92790260371,0.4235343064308585
33,4,23437.24458983133,0.3407497136732155
34,5,19006.85138768958,0.2985470972859971
35,2,10458.797567486414,0.19511541537911767
36,3,12796.03871177209,0.26457878703838605
37,3,18412.23068403944,0.37880261193810066
38,3,9860.081990744504,0.19215833944033314
39,1,8955.72056455109,0.1893797369063208
40,3,18108.811461498415,0.3167886017756502
41,4,25470.967892533452,0.38752497094289073
42,5,20932.92540291677,0.3213231796096959
43,4,21254.111314039503,0.3407048838606424
44,7,45393.89004652036,0.4769908974649671
45,1,8955.72056455109,0.18938058275184103
46,4,29687.804249306595,0.3295143476277707
47,6,26938.519294400176,0.4319428567476368
48,6,30552.397410012287,0.34315783586935955
49,7,49768.09287822638,0.6175873398404721
50,4,9237.10212299895,0.19533618105990222
51,3,15719.10775939537,0.2582992298960702
52,2,9853.458727337464,0.20242521236509478
53,4,25035.983859409967,0.30420580381645146
54,2,17755.718742556157,0.2602979628604145
55,6,39448.17811899768,0.4533545902471768
56,3,15407.121942187618,0.21828227833317077
57,7,42574.5409903049,0.5113753637085398
58,4,26542.83989831252,0.33616861433555617
59,4,25925.085652808644,0.3881179086525841
60,2,11286.978401113765,0.23828821657805974
61,2,17911.44112910218,0.37043043297869294
62,3,13452.587788124185,0.2802108580980763
63,4,21514.849088751806,0.3212597411956774
64,4,34297.12063721061,0.4094484409821803
65,7,34574.06660227972,0.4435512406675106
66,6,28933.92316372497,0.42857300819497157
67,3,25341.400072659522,0.44611415259385995
68,3,17925.80172753056,0.30247435803650524
69,2,8986.479297737953,0.19003695887555294
70,4,27367.95124859053,0.3929316155083114
71,3,23203.311306028783,0.38775673261543847
72,3,15953.842295028704,0.27151641199545434
73,4,24007.964611168776,0.3277253843524477
74,4,26987.36022987833,0.3802972209723776
75,5,24938.70769131235,0.324750545657738
76,4,34677.711655922816,0.43976861950096474
77,4,24425.15024252691,0.3119943493668885
78,4,17932.4249909376,0.3312627103181219
79,4,22373.455705609034,0.27773675995135294
80,1,8955.72056455109,0.1893797369063208
81,7,20616.435529937484,0.3335321138489454
82,3,22343.570487383782,0.2797211135418531
83,3,14583.699522602916,0.27733921255683675
84,1,8955.72056455109,0.18938565782496253
85,3,9463.133382895394,0.19869926284840544
86,4,23471.22372193596,0.3966211936676301
87,4,30206.690285937002,0.44847490744087015
88,4,22720.47862468271,0.2842193200185282
89,3,22603.69669492052,0.39988023645714293
90,2,14450.76529209338,0.21175742598998315
91,2,9853.458727337464,0.20836643129931176
92,5,36853.24710593947,0.4441619411331292
93,6,25381.923661907014,0.442033793804187
94,7,33409.287784089574,0.37770977952594115
95,6,27444.408667176158,0.4152357160317123
96,5,24307.36561208443,0.31816140905501156
97,6,19254.063352815658,0.3014889480054172
98,4,34677.711655922816,0.4821285631549492
99,2,17911.44112910218,0.356906208955459
