,Unnamed: 0,number_colonies,concentrations,density,running_time
0,0,2,2513.271609845298,0.2490919999998314,0.687932
1,1,4,5025.533267081576,0.4155719999996801,1.209402
2,2,6,6296.997678201156,0.3754999999997165,1.735993
3,3,4,5026.508844322572,0.3141599999997723,1.426347
4,4,4,4461.466573921727,0.3449479999997443,1.233993
5,5,4,4866.960976400737,0.4334599999996638,1.244712
6,6,4,4168.996876968714,0.295819999999789,1.085029
7,7,3,2783.766419049172,0.2783719999998048,0.616575
8,8,3,3754.042781758589,0.3748119999997171,0.598392
9,9,4,3797.715939649328,0.2698479999998126,0.811188
10,10,7,7233.689327134078,0.5268639999995789,1.245766
11,11,2,2513.273926022571,0.245203999999835,0.454511
12,12,3,3766.6795191631554,0.3257519999997617,0.682456
13,13,3,3769.822621825176,0.337591999999751,0.625051
14,14,6,6949.686748348244,0.4742599999996267,1.014137
15,15,4,4168.997105325322,0.3807359999997117,0.735628
16,16,5,6283.182109803509,0.4701559999996304,0.878383
17,17,5,5852.072165747668,0.516799999999588,0.935787
18,18,4,4916.045757821761,0.3686159999997228,0.831892
19,19,2,2478.3673799342696,0.233091999999846,0.511534
20,20,4,3748.526494223872,0.3581119999997323,0.783409
21,21,3,3769.898979517435,0.3389319999997497,0.580128
22,22,3,3769.910660677248,0.3569159999997334,0.598974
23,23,6,6289.84024912416,0.4672159999996331,0.959949
24,24,3,3769.9108406261967,0.2372679999998422,0.631284
25,25,3,3769.909781883656,0.3633319999997276,0.58735
26,26,4,5023.3112068132,0.3950519999996987,0.721925
27,27,5,5460.500315839716,0.4290799999996678,0.877458
28,28,4,5026.459356479853,0.3482799999997412,0.722048
29,29,5,6283.166843659796,0.431003999999666,0.838711
30,30,6,6286.165079371,0.4707679999996298,0.99599
31,31,4,3664.0656676108015,0.3319919999997561,0.753182
32,32,2,2513.273926022571,0.2150359999998624,0.432758
33,33,5,6279.662949543206,0.4549159999996442,0.848403
34,34,5,5195.934264644566,0.4147239999996808,0.850075
35,35,1,1256.6369630112854,0.1256199999999437,0.241442
36,36,3,3769.8398920644136,0.3396519999997491,0.600412
37,37,4,5026.239237286335,0.3928799999997007,0.775421
38,38,5,6283.177223517912,0.4797599999996217,0.889043
39,39,4,4599.17735600491,0.434295999999663,0.724869
40,40,2,2513.273926022571,0.2512919999998295,0.438035
41,41,3,3432.2851151678765,0.3247239999997627,0.631414
42,42,4,5026.5355534530745,0.4028479999996916,0.73941
43,43,4,5026.545535867868,0.4612479999996385,0.72187
44,44,4,3822.665705149892,0.3662199999997249,0.707134
45,45,2,2513.2738053991725,0.2191319999998587,0.447332
46,46,2,2513.273926022571,0.244067999999836,0.42278
47,47,3,3769.9072646748873,0.321035999999766,0.592666
48,48,5,6283.125630788087,0.4801919999996213,0.848811
49,49,4,2959.3404049078576,0.2837719999997999,0.71574
50,50,4,4161.830170027648,0.3579759999997324,0.694021
51,51,4,5025.449825295271,0.4467079999996518,0.71893
52,52,6,6109.348926778109,0.494811999999608,0.949933
53,53,5,6207.441709475808,0.5006599999996026,0.841167
54,54,4,5026.070127046951,0.4662839999996339,0.718954
55,55,1,1256.6369630112854,0.1256679999999437,0.245761
56,56,4,4986.790800131658,0.4290959999996677,0.725698
57,57,4,4709.480355495907,0.4269239999996697,0.750136
58,58,4,4915.551498355051,0.4356359999996618,0.697234
59,59,7,7628.252272078207,0.5002039999996031,1.083148
60,60,5,6283.171846797466,0.4619279999996379,0.906701
61,61,2,2513.272939495769,0.1783759999998957,0.429968
62,62,7,6652.196719893068,0.5043239999995993,1.061907
63,63,4,5005.869833438506,0.329855999999758,0.727258
64,64,3,3129.099372229578,0.2841559999997995,0.582017
65,65,4,4633.939303831641,0.3495319999997401,0.75105
66,66,5,6282.171750225058,0.4219279999996743,0.932375
67,67,4,4402.763936641657,0.4039759999996906,0.728559
68,68,6,7539.812793434981,0.480443999999621,0.9947
69,69,5,6283.143297881573,0.4346199999996627,0.887461
70,70,4,5019.172505440203,0.3542959999997358,0.714022
71,71,4,4950.790758653545,0.3911279999997022,0.72104
72,72,5,6239.65715709168,0.4575199999996419,0.837775
73,73,2,2513.270422287,0.2048279999998717,0.431174
74,74,5,5315.133721265906,0.4210399999996751,0.857133
75,75,4,5026.429980687676,0.333111999999755,0.752578
76,76,2,1426.0356742027764,0.1421159999999287,0.43032
77,77,5,5080.630660378773,0.4378439999996598,0.830024
78,78,5,5053.920010246699,0.4402079999996576,0.839629
79,79,5,5999.616312241136,0.3833959999997093,0.825152
80,80,4,4709.674817873745,0.3600559999997305,0.710823
81,81,6,6827.692841646055,0.4578039999996416,0.999954
82,82,3,2659.1116531242915,0.2657879999998163,0.581597
83,83,2,1310.3687397272488,0.1310039999999388,0.47934
84,84,2,2513.256182982548,0.2513679999998294,0.420339
85,85,3,3769.903297495342,0.2790919999998042,0.571571
86,86,4,5026.547223204923,0.467319999999633,0.743898
87,87,4,5026.545415244471,0.4037919999996908,0.75993
88,88,4,3863.5126341452897,0.3785199999997137,0.728633
89,89,3,3769.90234188443,0.3659559999997251,0.58178
90,90,4,4856.011721155075,0.465031999999635,0.737547
91,91,5,6283.113270624166,0.3982399999996958,0.870748
92,92,5,6283.163568280834,0.5015519999996019,0.80464
93,93,2,1310.3687397272488,0.1310079999999388,0.43431
94,94,3,3769.909368901659,0.3024919999997829,0.628649
95,95,3,3204.831927087714,0.3194439999997674,0.571535
96,96,5,4765.514329443486,0.4181159999996777,0.869766
97,97,5,6248.513452467978,0.4881239999996141,0.87332
98,98,3,1324.1841409200383,0.1323559999999376,0.628056
99,99,2,2353.700431619124,0.2095359999998674,0.433121
