,number_colonies,concentrations,density
0,4,27384.308837727443,0.42006549395232434
1,4,11450.671364810165,0.22988389548888263
2,2,14450.76529209338,0.28652509490672234
3,3,8976.70442638651,0.18982295995893037
4,3,26166.793863263127,0.45028163347211836
5,4,30598.923221544734,0.45726239655071926
6,4,26881.52229208165,0.40162775330197387
7,3,18428.588273176352,0.25707190804619134
8,1,8955.72056455109,0.1893797369063208
9,2,17530.850110389976,0.36506608068928464
10,4,19428.878730465887,0.35587343157523704
11,4,31403.694872925586,0.47895495076298134
12,3,23025.894837932265,0.26117172128283
13,2,9020.45842984258,0.19030340021443082
14,4,19995.266526169686,0.27745424754759035
15,1,8955.72056455109,0.189390732898084
16,2,17530.850110389976,0.3378941391968606
17,3,26867.161693653266,0.44098240782251963
18,6,41615.541990068225,0.4568893786762902
19,1,8955.72056455109,0.1893797369063208
20,2,9020.45842984258,0.19075085249464166
21,4,17895.27623647273,0.33257546256554565
22,5,29940.4353064563,0.45195217837460677
23,5,38306.320633551935,0.37392377497731427
24,3,13402.210521261075,0.2834073083190908
25,1,8955.72056455109,0.1893636658414361
26,3,12326.007890021689,0.23368427941135372
27,3,20550.601890995775,0.29441514191958906
28,3,22187.848100837764,0.36890452766016685
29,4,17670.63195301405,0.372294676505318
30,4,28780.611266591935,0.37886689619763947
31,3,26867.161693653266,0.4536616321710265
32,4,17297.81881494476,0.3446685159685212
33,7,28908.410248119755,0.38247104395941317
34,2,9456.510119488354,0.19995703513701318
35,2,17911.44112910218,0.3222561472185287
36,6,26146.936442681934,0.45560115594895356
37,2,17911.44112910218,0.3031222757050147
38,1,8955.72056455109,0.18938481197944226
39,1,8955.72056455109,0.18937719936976005
40,2,17911.44112910218,0.3787856950276957
41,1,8955.72056455109,0.1893678950690373
42,1,8955.72056455109,0.18937889106080055
43,5,32271.22189994103,0.4393262422938754
44,5,27328.411393415394,0.41651886368592744
45,2,13387.849922832695,0.2359663706249809
46,2,9456.510119488354,0.19533026014126048
47,3,9153.392660352116,0.19036345524636838
48,2,17911.44112910218,0.3432644124049107
49,2,9853.458727337464,0.20595830910316773
50,5,25125.072826371637,0.2777942774467298
51,3,10591.73179799595,0.21738399039066814
52,2,9088.654795060625,0.19219217326114305
53,2,9020.45842984258,0.1906747263978194
54,2,9456.510119488354,0.19997987296605985
55,3,17724.019180321913,0.3315892066889373
56,3,10722.676934852303,0.21075002397536863
57,4,33304.20247286141,0.4020143047047269
58,4,24612.36127567622,0.3753481788334107
59,5,32037.884625854807,0.3565577206011171
60,4,25792.826107957968,0.4588762698033511
61,4,18735.43152869656,0.30791483642273587
62,2,9020.45842984258,0.19074239403943918
63,4,19421.141395444545,0.26988731352345807
64,1,8955.72056455109,0.18937889106080055
65,4,18123.172059926797,0.3642769068188939
66,4,18139.57019468528,0.24889089017435953
67,3,11293.601664520806,0.23684182073843685
68,1,8955.72056455109,0.18938058275184103
69,4,21657.563255422025,0.34282203519782134
70,4,30206.690285937002,0.3761365068582812
71,2,17911.44112910218,0.3609552714608828
72,3,17925.80172753056,0.2940869538577331
73,4,25789.344437204516,0.4729147679028954
74,4,18533.226897121847,0.33834835824123344
75,3,18108.811461498415,0.3389379125688458
76,3,17794.729477755867,0.32436314840946473
77,4,22346.71208003737,0.38147632962760236
78,2,9020.45842984258,0.1907610026408846
79,2,9020.45842984258,0.19077791955128956
80,2,17911.44112910218,0.2632939476931304
81,4,32232.558612142864,0.43837382023807697
82,4,11920.702186560566,0.24480122708396387
83,2,17211.07329871204,0.36350887908650936
84,4,26897.92042684013,0.42804689228137777
85,2,17211.07329871204,0.3413917104230832
86,2,14450.76529209338,0.2976039795309214
87,2,9853.458727337464,0.20836473960827126
88,3,25721.991091371725,0.41932960834970917
89,4,19104.15162679035,0.21677244407952936
90,4,32206.484034649537,0.4172505200609413
91,2,17911.44112910218,0.37683010018488394
92,3,17976.17899439367,0.2850880033678222
93,4,26169.935455916715,0.38136214048236894
94,2,17911.44112910218,0.2766050186452621
95,3,18108.811461498415,0.29162300585725276
96,7,39813.62133895245,0.4038700897761494
97,4,35286.56885294613,0.4621175498369387
98,3,13888.639477769959,0.22453138503675776
99,4,34297.12063721061,0.4384939303019521
